record_id,business_unit,management_system,category,status,owner,reference,event_date,next_review,target_date,action_reference,risk_level,is_active,created_at,updated_at
REC-001,Site A,System A,Category A,Open,User A,REF-001,2024-01-15,2024-07-15,2024-07-30,AP-001,High,Yes,2024-01-15,2024-01-15
REC-002,Site B,System B,Category B,Completed,User B,REF-002,2024-01-18,2024-07-18,2024-07-31,AP-002,Medium,Yes,2024-01-18,2024-01-18
REC-003,Site C,System A,Category C,In Progress,User C,REF-003,2024-02-10,2024-08-10,2024-08-25,AP-003,Low,Yes,2024-02-10,2024-02-10
REC-004,Site D,System C,Category D,Open,User D,REF-004,2024-02-12,2024-08-12,2024-08-31,AP-004,Critical,Yes,2024-02-12,2024-02-12
REC-005,Site E,System B,Category A,Completed,User E,REF-005,2024-03-05,2024-09-05,2024-09-20,AP-005,Medium,Yes,2024-03-05,2024-03-05
REC-006,Site A,System C,Category B,In Progress,User F,REF-006,2024-03-14,2024-09-14,2024-09-28,AP-006,High,Yes,2024-03-14,2024-03-14
REC-007,Site B,System A,Category C,Open,User G,REF-007,2024-04-01,2024-10-01,2024-10-15,AP-007,Low,Yes,2024-04-01,2024-04-01
REC-008,Site C,System B,Category D,Completed,User H,REF-008,2024-04-09,2024-10-09,2024-10-20,AP-008,Critical,Yes,2024-04-09,2024-04-09
REC-009,Site D,System C,Category A,In Progress,User I,REF-009,2024-05-11,2024-11-11,2024-11-30,AP-009,Medium,Yes,2024-05-11,2024-05-11
REC-010,Site E,System A,Category B,Open,User J,REF-010,2024-05-20,2024-11-20,2024-12-05,AP-010,High,Yes,2024-05-20,2024-05-20
REC-011,Site A,System B,Category C,Completed,User K,REF-011,2024-06-08,2024-12-08,2024-12-20,AP-011,Low,Yes,2024-06-08,2024-06-08
REC-012,Site B,System C,Category D,In Progress,User L,REF-012,2024-06-18,2024-12-18,2024-12-31,AP-012,Critical,Yes,2024-06-18,2024-06-18
REC-013,Site C,System A,Category A,Open,User M,REF-013,2024-07-04,2025-01-04,2025-01-20,AP-013,Medium,Yes,2024-07-04,2024-07-04
REC-014,Site D,System B,Category B,Completed,User N,REF-014,2024-07-16,2025-01-16,2025-01-31,AP-014,High,Yes,2024-07-16,2024-07-16
