action_id,plan_id,business_unit,category,action_title,action_owner,status,priority,start_date,target_date,completion_date,progress_pct,days_overdue,data_source,updated_at
ACT-001,AP-001,Site A,Category A,Action 001,User A,Open,High,2024-01-15,2024-03-15,,10,0,API,2024-01-15
ACT-002,AP-002,Site B,Category B,Action 002,User B,In Progress,Medium,2024-01-18,2024-04-18,,35,0,API,2024-01-18
ACT-003,AP-003,Site C,Category C,Action 003,User C,Completed,Low,2024-02-10,2024-03-25,2024-03-20,100,0,API,2024-03-20
ACT-004,AP-004,Site D,Category D,Action 004,User D,Open,Critical,2024-02-12,2024-04-30,,5,12,API,2024-05-12
ACT-005,AP-005,Site E,Category A,Action 005,User E,Cancelled,Medium,2024-03-05,2024-05-01,,0,0,API,2024-04-10
ACT-006,AP-006,Site A,Category B,Action 006,User F,In Progress,High,2024-03-14,2024-06-15,,60,0,API,2024-05-28
ACT-007,AP-007,Site B,Category C,Action 007,User G,Completed,Low,2024-04-01,2024-06-01,2024-05-28,100,0,API,2024-05-28
ACT-008,AP-008,Site C,Category D,Action 008,User H,Open,Critical,2024-04-09,2024-07-31,,15,0,API,2024-06-10
ACT-009,AP-009,Site D,Category A,Action 009,User I,In Progress,Medium,2024-05-11,2024-08-11,,45,0,API,2024-07-01
ACT-010,AP-010,Site E,Category B,Action 010,User J,Completed,High,2024-05-20,2024-08-01,2024-07-25,100,0,API,2024-07-25
ACT-011,AP-011,Site A,Category C,Action 011,User K,Open,Low,2024-06-08,2024-09-30,,25,0,API,2024-08-15
ACT-012,AP-012,Site B,Category D,Action 012,User L,In Progress,Critical,2024-06-18,2024-10-15,,70,0,API,2024-09-18
ACT-013,AP-013,Site C,Category A,Action 013,User M,Completed,Medium,2024-07-04,2024-09-15,2024-09-08,100,0,API,2024-09-08
ACT-014,AP-014,Site D,Category B,Action 014,User N,Open,High,2024-07-16,2024-11-01,,20,0,API,2024-09-01
ACT-015,AP-015,Site E,Category C,Action 015,User O,Cancelled,Low,2024-08-02,2024-10-31,,0,0,API,2024-09-20
ACT-016,AP-016,Site A,Category D,Action 016,User P,In Progress,Critical,2024-08-22,2024-12-15,,55,0,API,2024-11-01
ACT-017,AP-017,Site B,Category A,Action 017,User Q,Completed,Medium,2024-09-06,2024-11-30,2024-11-20,100,0,API,2024-11-20
ACT-018,AP-018,Site C,Category B,Action 018,User R,Open,High,2024-09-19,2025-01-15,,30,0,API,2024-12-01
ACT-019,AP-019,Site D,Category C,Action 019,User S,In Progress,Low,2024-10-03,2025-01-31,,40,0,API,2024-12-15
ACT-020,AP-020,Site E,Category D,Action 020,User T,Completed,Critical,2024-10-15,2025-01-15,2025-01-10,100,0,API,2025-01-10
ACT-021,AP-021,Site A,Category A,Action 021,User U,Open,Medium,2024-11-07,2025-02-28,,15,0,API,2025-01-15
ACT-022,AP-022,Site B,Category B,Action 022,User V,In Progress,High,2024-11-21,2025-03-15,,65,0,API,2025-02-10
ACT-023,AP-023,Site C,Category C,Action 023,User W,Completed,Low,2024-12-05,2025-02-28,2025-02-20,100,0,API,2025-02-20
ACT-024,AP-024,Site D,Category D,Action 024,User X,Open,Critical,2024-12-18,2025-04-01,,10,0,API,2025-03-01
ACT-025,AP-025,Site E,Category A,Action 025,User Y,Cancelled,Medium,2025-01-10,2025-03-31,,0,0,API,2025-02-15
ACT-026,AP-026,Site A,Category B,Action 026,User Z,In Progress,High,2025-01-22,2025-05-15,,50,0,API,2025-04-01
ACT-027,AP-027,Site B,Category C,Action 027,User AA,Completed,Low,2025-02-04,2025-04-30,2025-04-25,100,0,API,2025-04-25
ACT-028,AP-028,Site C,Category D,Action 028,User AB,Open,Critical,2025-02-15,2025-06-15,,20,0,API,2025-05-01
ACT-029,AP-029,Site D,Category A,Action 029,User AC,In Progress,Medium,2025-03-06,2025-07-01,,75,0,API,2025-06-01
ACT-030,AP-030,Site E,Category B,Action 030,User AD,Completed,High,2025-03-20,2025-06-30,2025-06-25,100,0,API,2025-06-25
ACT-031,AP-031,Site A,Category C,Action 031,User AE,Open,Low,2025-04-08,2025-08-15,,25,0,API,2025-07-01
ACT-032,AP-032,Site B,Category D,Action 032,User AF,In Progress,Critical,2025-04-24,2025-09-01,,60,0,API,2025-07-15
ACT-033,AP-033,Site C,Category A,Action 033,User AG,Completed,Medium,2025-05-04,2025-08-31,2025-08-20,100,0,API,2025-08-20
ACT-034,AP-034,Site D,Category B,Action 034,User AH,Open,High,2025-05-17,2025-10-01,,30,0,API,2025-08-01
ACT-035,AP-035,Site E,Category C,Action 035,User AI,Cancelled,Low,2025-06-07,2025-09-30,,0,0,API,2025-08-15
ACT-036,AP-036,Site A,Category D,Action 036,User AJ,In Progress,Critical,2025-06-21,2025-11-15,,55,0,API,2025-09-01
ACT-037,AP-037,Site B,Category A,Action 037,User AK,Completed,Medium,2025-07-03,2025-10-30,2025-10-20,100,0,API,2025-10-20
ACT-038,AP-038,Site C,Category B,Action 038,User AL,Open,High,2025-07-19,2025-12-01,,15,0,API,2025-10-01
ACT-039,AP-039,Site D,Category C,Action 039,User AM,In Progress,Low,2025-08-08,2026-01-15,,45,0,API,2025-11-01
ACT-040,AP-040,Site E,Category D,Action 040,User AN,Completed,Critical,2025-08-25,2025-12-31,2025-12-20,100,0,API,2025-12-20
ACT-041,AP-041,Site A,Category A,Action 041,User AO,Open,Medium,2025-09-09,2026-02-28,,20,0,API,2025-12-15
ACT-042,AP-042,Site B,Category B,Action 042,User AP,In Progress,High,2025-09-23,2026-03-15,,70,0,API,2026-01-15
ACT-043,AP-043,Site C,Category C,Action 043,User AQ,Completed,Low,2025-10-07,2026-02-28,2026-02-20,100,0,API,2026-02-20
ACT-044,AP-044,Site D,Category D,Action 044,User AR,Open,Critical,2025-10-21,2026-04-01,,10,0,API,2026-02-01
ACT-045,AP-045,Site E,Category A,Action 045,User AS,Cancelled,Medium,2025-11-11,2026-03-31,,0,0,API,2026-01-20
ACT-046,AP-046,Site A,Category B,Action 046,User AT,In Progress,High,2025-11-25,2026-05-15,,55,0,API,2026-03-01
ACT-047,AP-047,Site B,Category C,Action 047,User AU,Completed,Low,2025-12-05,2026-04-30,2026-04-25,100,0,API,2026-04-25
ACT-048,AP-048,Site C,Category D,Action 048,User AV,Open,Critical,2025-12-18,2026-06-15,,25,0,API,2026-04-01
ACT-049,AP-049,Site D,Category A,Action 049,User AW,In Progress,Medium,2026-01-10,2026-07-01,,65,0,API,2026-05-01
ACT-050,AP-050,Site E,Category B,Action 050,User AX,Completed,High,2026-01-22,2026-06-30,2026-06-20,100,0,API,2026-06-20
